Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,2.2385,28.6014,1.8665,40.9886
1,1.6722,45.1601,1.6114,48.9734
2,1.4523,51.2195,1.4189,54.6768
3,1.3181,56.1357,1.2671,56.6540
4,1.1547,62.7858,1.1594,62.4335
5,1.0861,64.2530,1.0678,65.3992
6,1.0238,66.4634,0.9619,71.4068
7,0.9465,69.7218,0.9009,72.8517
8,0.9032,70.8460,0.8443,74.4487
9,0.8180,74.2759,0.8036,76.2738
0,2.2385,28.6014,1.8665,40.9886
1,1.6722,45.1601,1.6114,48.9734
2,1.4523,51.2195,1.4189,54.6768
3,1.3181,56.1357,1.2671,56.6540
4,1.1547,62.7858,1.1594,62.4335
5,1.0861,64.2530,1.0678,65.3992
6,1.0238,66.4634,0.9619,71.4068
7,0.9465,69.7218,0.9009,72.8517
8,0.9032,70.8460,0.8443,74.4487
9,0.8180,74.2759,0.8036,76.2738
0,2.2385,28.6014,1.8665,40.9886
1,1.6722,45.1601,1.6114,48.9734
2,1.4523,51.2195,1.4189,54.6768
3,1.3181,56.1357,1.2671,56.6540
4,1.1547,62.7858,1.1594,62.4335
5,1.0861,64.2530,1.0678,65.3992
6,1.0238,66.4634,0.9619,71.4068
7,0.9465,69.7218,0.9009,72.8517
8,0.9032,70.8460,0.8443,74.4487
9,0.8180,74.2759,0.8036,76.2738
0,2.2385,28.6014,1.8665,40.9886
1,1.6722,45.1601,1.6114,48.9734
2,1.4523,51.2195,1.4189,54.6768
3,1.3181,56.1357,1.2671,56.6540
4,1.1547,62.7858,1.1594,62.4335
5,1.0861,64.2530,1.0678,65.3992
6,1.0238,66.4634,0.9619,71.4068
7,0.9465,69.7218,0.9009,72.8517
8,0.9032,70.8460,0.8443,74.4487
9,0.8180,74.2759,0.8036,76.2738
