Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,0.7969,70.7567,0.5343,81.6141
1,0.3519,89.1085,0.2871,91.2015
2,0.2283,92.4939,0.2158,92.0510
3,0.1816,93.1985,0.1849,93.2039
4,0.1546,94.3781,0.1793,93.5073
5,0.1406,94.6538,0.1566,93.6286
6,0.1396,94.7610,0.1450,94.2354
7,0.1259,95.3738,0.1382,93.7500
8,0.1199,95.2972,0.1304,94.6602
9,0.1153,95.4963,0.1435,93.5073
10,0.1164,95.2819,0.1320,94.5995
11,0.1217,95.1134,0.1252,94.8422
12,0.1168,95.2053,0.1231,94.6602
13,0.1161,95.1746,0.1231,94.9029
14,0.1106,95.2512,0.1194,94.7209
15,0.1077,95.4197,0.1199,94.7816
16,0.1069,95.7414,0.1244,94.2961
17,0.1055,95.6495,0.1158,95.2670
18,0.0993,95.8487,0.1169,94.3568
19,0.1015,95.7721,0.1174,94.2961
20,0.1011,95.9712,0.1140,95.3277
21,0.0982,95.8027,0.1126,95.4490
22,0.1010,95.5423,0.1077,95.1456
23,0.0933,96.1703,0.1106,95.2063
24,0.0990,95.8487,0.1119,94.6602
25,0.0967,96.0631,0.1048,95.4490
26,0.0939,96.1703,0.1040,95.6917
27,0.0967,95.7721,0.1114,95.3883
28,0.0886,96.3235,0.1057,95.3883
29,0.1026,95.7414,0.1161,94.4175
30,0.0916,96.2776,0.1120,94.8422
31,0.0911,96.3388,0.0967,95.8738
32,0.0893,96.1397,0.0996,95.4490
33,0.0870,96.4001,0.1042,95.3883
34,0.0864,96.4001,0.0969,95.8738
35,0.0868,96.5074,0.1005,95.8131
36,0.0838,96.7678,0.0951,95.5097
37,0.0853,96.4920,0.0968,95.9951
38,0.0838,96.4308,0.0954,95.6917
39,0.0835,96.6299,0.1055,95.2063
40,0.0770,96.6605,0.1016,95.1456
41,0.0815,96.7218,0.0940,95.3883
42,0.0846,96.5533,0.0886,95.7524
43,0.0819,96.4767,0.0941,95.9345
44,0.0822,96.4461,0.0915,95.5704
45,0.0891,96.2010,0.0865,96.3592
46,0.0716,96.9822,0.0874,96.0558
47,0.0759,96.9669,0.0899,95.8131
48,0.0790,96.4001,0.0864,96.5413
49,0.0728,96.9822,0.0926,95.7524
50,0.0763,96.8137,0.0942,96.4199
51,0.0804,96.6912,0.0904,96.1772
52,0.0813,96.5227,0.0906,95.7524
53,0.0792,96.6452,0.0871,96.4199
54,0.0743,96.9822,0.0843,95.9951
55,0.0740,97.0129,0.0853,95.9345
56,0.0744,97.0129,0.0839,96.2985
57,0.0811,96.6759,0.0880,96.2379
58,0.0765,96.7831,0.0879,96.1165
59,0.0725,97.0435,0.0840,96.8447
0,0.7987,69.3321,0.5889,78.2160
1,0.3906,86.7341,0.3497,88.8350
2,0.2474,91.6513,0.2350,91.7476
3,0.1819,93.1832,0.2074,92.1723
4,0.1645,94.0411,0.1772,93.4466
5,0.1549,94.1176,0.1609,94.2961
6,0.1279,95.1900,0.1466,94.5388
7,0.1292,95.2206,0.1409,94.1748
8,0.1345,94.5312,0.1390,94.3568
9,0.1267,95.0061,0.1354,94.7209
10,0.1195,95.1746,0.1369,94.3568
11,0.1212,94.6691,0.1455,93.1432
12,0.1157,95.2359,0.1228,94.8422
13,0.1147,95.1593,0.1278,94.5995
14,0.1139,95.2972,0.1211,94.6602
15,0.1060,95.8946,0.1339,94.4175
16,0.1107,95.2819,0.1199,94.9636
17,0.1060,95.4504,0.1192,95.1456
18,0.1077,95.5270,0.1260,94.4782
19,0.1070,95.8946,0.1125,95.0243
20,0.1062,95.5729,0.1210,95.0850
21,0.0915,96.2929,0.1181,94.9029
22,0.1071,95.2359,0.1126,95.0850
23,0.0983,96.1857,0.1093,95.3883
24,0.1048,95.7567,0.1115,95.5704
25,0.0931,96.0018,0.1201,94.2354
26,0.0968,96.4001,0.1103,95.4490
27,0.0931,95.9252,0.1109,95.0243
28,0.0989,95.8333,0.1122,95.1456
29,0.0985,95.7721,0.1062,95.5097
30,0.0930,96.0018,0.1027,95.9951
31,0.0899,96.1703,0.1131,94.9636
32,0.0907,96.2469,0.1059,95.5704
33,0.0909,96.0325,0.1106,95.3883
34,0.0977,96.0631,0.1012,95.7524
35,0.0894,96.1703,0.1063,95.4490
36,0.0788,96.6299,0.1001,95.5097
37,0.0896,96.2010,0.1060,95.6917
38,0.0853,96.2776,0.1047,95.4490
39,0.0917,96.1091,0.1096,95.1456
40,0.0926,96.0325,0.1086,95.0850
41,0.0869,96.2776,0.1072,96.2985
42,0.0888,96.2776,0.1019,95.6917
43,0.0815,96.6605,0.0987,95.8738
44,0.0775,96.7218,0.1042,96.0558
45,0.0884,96.4461,0.1026,95.6917
46,0.0805,96.4308,0.1046,95.6311
47,0.0830,96.4767,0.1041,95.6311
48,0.0755,96.9210,0.0982,95.7524
49,0.0781,96.6759,0.0968,96.1165
50,0.0770,96.6759,0.0961,96.2379
51,0.0752,97.0435,0.0886,96.2379
52,0.0824,96.3235,0.0904,96.4199
53,0.0790,96.6759,0.1122,94.7816
54,0.0788,96.7831,0.0906,96.1165
55,0.0786,96.7984,0.0940,96.4806
56,0.0812,96.6759,0.0975,95.8738
57,0.0725,96.9363,0.0953,95.8738
58,0.0733,97.0435,0.0922,95.8131
59,0.0728,97.0435,0.0843,96.7233
0,0.8153,68.1832,0.6327,77.5485
1,0.3785,88.5570,0.3554,88.6529
2,0.2270,92.8462,0.2714,89.8058
0,0.7969,70.7567,0.5343,81.6141
1,0.3519,89.1085,0.2871,91.2015
0,0.7969,70.7567,0.5343,81.6141
1,0.3519,89.1085,0.2871,91.2015
2,0.2283,92.4939,0.2158,92.0510
3,0.1816,93.1985,0.1849,93.2039
4,0.1546,94.3781,0.1793,93.5073
5,0.1406,94.6538,0.1566,93.6286
6,0.1396,94.7610,0.1450,94.2354
7,0.1259,95.3738,0.1382,93.7500
8,0.1199,95.2972,0.1304,94.6602
9,0.1153,95.4963,0.1435,93.5073
